Epoch,Accuracy Train,Accuracy Validate,Accuracy Test
0.0,0.5222222208976746,0.5600000023841858,0.5600000023841858
1.0,0.5454545617103577,0.527999997138977,0.6079999804496765
2.0,0.5525252819061279,0.5759999752044678,0.5519999861717224
3.0,0.5494949221611023,0.5839999914169312,0.5440000295639038
4.0,0.5787878632545471,0.6079999804496765,0.5920000076293945
5.0,0.596969723701477,0.5839999914169312,0.5920000076293945
6.0,0.6010100841522217,0.5839999914169312,0.5839999914169312
7.0,0.6151515245437622,0.6240000128746033,0.5680000185966492
8.0,0.6060606241226196,0.6399999856948853,0.5839999914169312
9.0,0.6565656661987305,0.6399999856948853,0.6399999856948853
10.0,0.6515151262283325,0.6480000019073486,0.5839999914169312
11.0,0.6262626051902771,0.6480000019073486,0.6240000128746033
12.0,0.6707070469856262,0.671999990940094,0.5759999752044678
13.0,0.6676767468452454,0.656000018119812,0.6079999804496765
14.0,0.657575786113739,0.656000018119812,0.6240000128746033
15.0,0.6525252461433411,0.7200000286102295,0.6079999804496765
16.0,0.678787887096405,0.6079999804496765,0.6159999966621399
17.0,0.6838383674621582,0.6480000019073486,0.6079999804496765
18.0,0.6797980070114136,0.6880000233650208,0.6399999856948853
19.0,0.7040404081344604,0.6959999799728394,0.6159999966621399
20.0,0.6888889074325562,0.6959999799728394,0.5759999752044678
21.0,0.7232323288917542,0.7120000123977661,0.6240000128746033
22.0,0.7252525091171265,0.7360000014305115,0.6639999747276306
23.0,0.7181817889213562,0.6800000071525574,0.6159999966621399
24.0,0.7373737096786499,0.7279999852180481,0.6399999856948853
25.0,0.7272727489471436,0.7120000123977661,0.6480000019073486
26.0,0.7424242496490479,0.7120000123977661,0.6399999856948853
27.0,0.765656590461731,0.7279999852180481,0.656000018119812
28.0,0.7676767706871033,0.7360000014305115,0.6639999747276306
29.0,0.7565656304359436,0.7680000066757202,0.671999990940094
30.0,0.760606050491333,0.7440000176429749,0.6880000233650208
31.0,0.7727272510528564,0.7599999904632568,0.7120000123977661
32.0,0.7858585715293884,0.7839999794960022,0.7200000286102295
33.0,0.7878788113594055,0.7120000123977661,0.7200000286102295
34.0,0.7838383913040161,0.7360000014305115,0.7360000014305115
35.0,0.8171716928482056,0.6800000071525574,0.7519999742507935
36.0,0.8050504922866821,0.7279999852180481,0.7200000286102295
37.0,0.8131313323974609,0.7120000123977661,0.7440000176429749
38.0,0.8141413927078247,0.7120000123977661,0.7120000123977661
39.0,0.8161616325378418,0.7440000176429749,0.7440000176429749
40.0,0.8262626528739929,0.7279999852180481,0.7360000014305115
41.0,0.8151515126228333,0.6880000233650208,0.7120000123977661
42.0,0.8404040336608887,0.7120000123977661,0.7519999742507935
43.0,0.834343433380127,0.7200000286102295,0.7360000014305115
44.0,0.8444444537162781,0.7360000014305115,0.7440000176429749
45.0,0.8515151739120483,0.7120000123977661,0.7120000123977661
46.0,0.8404040336608887,0.7120000123977661,0.7440000176429749
47.0,0.8585858345031738,0.7039999961853027,0.7599999904632568
48.0,0.8626262545585632,0.6880000233650208,0.7440000176429749
49.0,0.8585858345031738,0.7279999852180481,0.7440000176429749
50.0,0.8515151739120483,0.7039999961853027,0.7440000176429749
51.0,0.8666666746139526,0.7039999961853027,0.7120000123977661
52.0,0.8646464943885803,0.7039999961853027,0.7440000176429749
53.0,0.8565656542778015,0.6880000233650208,0.7279999852180481
54.0,0.8545454740524292,0.6880000233650208,0.7279999852180481
55.0,0.8676767945289612,0.7599999904632568,0.7120000123977661
56.0,0.8727272748947144,0.7360000014305115,0.7680000066757202
57.0,0.8747474551200867,0.7120000123977661,0.7200000286102295
58.0,0.8838383555412292,0.7039999961853027,0.6959999799728394
59.0,0.8747474551200867,0.6880000233650208,0.7760000228881836
60.0,0.8818181753158569,0.6959999799728394,0.7279999852180481
61.0,0.8888888955116272,0.7360000014305115,0.7680000066757202
62.0,0.9070706963539124,0.7120000123977661,0.7360000014305115
63.0,0.8898990154266357,0.7360000014305115,0.7440000176429749
64.0,0.8999999761581421,0.7440000176429749,0.7519999742507935
65.0,0.8949494957923889,0.7200000286102295,0.7519999742507935
66.0,0.903030276298523,0.7360000014305115,0.7279999852180481
67.0,0.8888888955116272,0.7279999852180481,0.7360000014305115
68.0,0.8969696760177612,0.7279999852180481,0.7839999794960022
69.0,0.9010100960731506,0.7120000123977661,0.7599999904632568
