Epoch,Accuracy Train,Accuracy Validate,Accuracy Test
0.0,0.6670030355453491,0.7200000286102295,0.7419354915618896
1.0,0.7689203023910522,0.7519999742507935,0.7661290168762207
2.0,0.7699293494224548,0.7360000014305115,0.75
3.0,0.7800201773643494,0.7440000176429749,0.7580645084381104
4.0,0.7951564192771912,0.7680000066757202,0.7661290168762207
5.0,0.8193743824958801,0.7599999904632568,0.7661290168762207
6.0,0.8052472472190857,0.7919999957084656,0.774193525314331
7.0,0.8304742574691772,0.7760000228881836,0.7661290168762207
8.0,0.82542884349823,0.7760000228881836,0.774193525314331
9.0,0.8567103743553162,0.7760000228881836,0.7822580933570862
10.0,0.8516649603843689,0.7760000228881836,0.7903226017951965
11.0,0.8567103743553162,0.7760000228881836,0.7983871102333069
12.0,0.8668012022972107,0.7839999794960022,0.7983871102333069
13.0,0.8779011368751526,0.7839999794960022,0.7983871102333069
14.0,0.8879919052124023,0.7760000228881836,0.8064516186714172
15.0,0.8990918397903442,0.7760000228881836,0.7983871102333069
16.0,0.9021191000938416,0.7680000066757202,0.7983871102333069
17.0,0.9031281471252441,0.7919999957084656,0.8225806355476379
18.0,0.9263370037078857,0.7760000228881836,0.8145161271095276
19.0,0.9253279566764832,0.7760000228881836,0.8145161271095276
20.0,0.9354187846183777,0.7760000228881836,0.8145161271095276
21.0,0.9475277662277222,0.7839999794960022,0.8145161271095276
22.0,0.9525731801986694,0.7919999957084656,0.8225806355476379
23.0,0.9485368132591248,0.7919999957084656,0.7983871102333069
24.0,0.9606457948684692,0.7919999957084656,0.8064516186714172
25.0,0.9687184691429138,0.7919999957084656,0.8225806355476379
26.0,0.9667003154754639,0.7919999957084656,0.8145161271095276
27.0,0.9798183441162109,0.8080000281333923,0.8145161271095276
28.0,0.9828456044197083,0.7919999957084656,0.8064516186714172
29.0,0.9818365573883057,0.8080000281333923,0.8064516186714172
30.0,0.9878910183906555,0.800000011920929,0.8064516186714172
31.0,0.9878910183906555,0.800000011920929,0.8225806355476379
32.0,0.9929364323616028,0.800000011920929,0.8145161271095276
33.0,0.9929364323616028,0.7839999794960022,0.8145161271095276
34.0,0.9939455389976501,0.800000011920929,0.8145161271095276
35.0,0.9969727396965027,0.8080000281333923,0.8145161271095276
36.0,0.9959636926651001,0.800000011920929,0.8145161271095276
37.0,1.0,0.8080000281333923,0.7983871102333069
38.0,0.99798184633255,0.7839999794960022,0.8145161271095276
39.0,0.9969727396965027,0.8159999847412109,0.8225806355476379
40.0,0.9959636926651001,0.800000011920929,0.8225806355476379
41.0,1.0,0.800000011920929,0.8145161271095276
42.0,1.0,0.7919999957084656,0.8145161271095276
43.0,1.0,0.8080000281333923,0.8064516186714172
44.0,0.9989908933639526,0.8159999847412109,0.8145161271095276
