Epoch,Loss Train,Loss Validate (*8.78),Loss Test (*8.01)
0.0,23.152600526809692,50.83065373855725,46.57966950416564
1.0,22.763282775878906,50.9257821038104,46.34550068998336
2.0,22.39168018102646,51.57053177764542,45.562064704895015
3.0,22.159468829631805,52.717314240702414,45.289930812835685
4.0,21.86858743429184,52.086737442957734,45.43760603523254
5.0,21.570975303649902,51.570996007375555,44.87996200370788
6.0,21.42852634191513,52.90238122825038,44.11281722259521
7.0,21.250807642936707,48.27004079102424,44.236006237030026
8.0,21.077328145503998,52.06864242752393,44.22463995885848
9.0,21.125921368598938,48.81432398108014,42.69255320072173
10.0,21.013308465480804,46.43091961140173,43.03746458959579
11.0,20.74852830171585,50.52031590227496,42.817406609058374
12.0,20.65290278196335,50.202609007818666,42.93325357961654
13.0,20.638754904270172,47.192484296727606,42.10518921327591
14.0,20.512898921966553,55.08013732286922,44.04790824699401
15.0,20.341794192790985,55.97048127180652,49.042532872676844
16.0,20.323226779699326,63.30951838430606,55.426266997098914
17.0,19.4620700776577,81.32537401349921,67.34804200315475
18.0,18.86393690109253,37.93695782843912,40.71911614751815
19.0,18.175098299980164,43.97127322826469,43.949375364303584
20.0,18.12477332353592,67.04667055423846,67.93848275661468
21.0,17.82721507549286,67.08925695900332,50.18103462457656
22.0,16.9323550760746,50.92210176168827,40.78375949788093
23.0,16.85633075237274,38.46419104332464,37.70777389216423
24.0,17.424325078725815,75.8987504427501,77.97955398845671
25.0,16.91251763701439,40.92626717451372,35.32192155694961
26.0,16.871563464403152,42.988705097583306,40.480815464735024
27.0,17.174655854701996,37.81051397532748,35.05164250707626
28.0,16.720126152038574,42.189232940736574,36.24839804553985
29.0,16.889222592115402,40.59965094218129,35.31810734081268
30.0,16.661592423915863,73.23310244397113,61.52801737785339
31.0,16.671710312366486,55.34829619840572,44.095754679203026
32.0,16.8263940513134,63.04190852453835,56.26594847011565
33.0,16.56363672018051,40.871841341518525,37.171488945960995
34.0,16.42285120487213,40.808231139392184,37.019234611749646
35.0,16.672946482896805,45.88051246185052,34.91249807906151
36.0,16.541894614696503,37.03137882276063,34.78191833472251
37.0,16.729444295167923,38.113579053627824,35.678251489877695
38.0,16.512510031461716,40.067939637522954,36.25230629253387
39.0,16.690989822149277,59.00464177811355,54.025800766468045
40.0,16.456394731998444,41.10975332113735,34.49237680125236
41.0,16.080918163061142,40.701097437425666,34.36287817311287
42.0,16.276672810316086,41.0952870958207,34.20160928678512
43.0,16.348462879657745,58.53910414482419,51.86101044178008
44.0,16.199067026376724,38.143591217827385,34.994687491893764
45.0,16.42995062470436,42.657849039947784,37.784584692239754
46.0,16.358621299266815,51.05176683005534,43.38922257041931
47.0,16.33495119214058,44.10005772558221,37.479190606355665
48.0,16.245132476091385,50.89928332650871,37.91848463273048
49.0,16.28082564473152,50.59134959311862,47.97604038071632
50.0,16.315611362457275,37.366129411939994,34.074446871995924
51.0,16.293872207403183,72.87343797453663,61.525258980274195
52.0,16.924470007419586,38.82957569182965,34.418349696397776
53.0,16.214334458112717,38.32515711768678,36.37479890584945
54.0,16.06268158555031,38.27210853444903,34.33767933535575
55.0,16.248572677373886,36.25326476625184,34.00088061380386
56.0,15.888488948345184,42.51694563449475,37.99572978854179
57.0,15.874791324138641,39.223619984038045,36.80615114331245
58.0,16.115087687969208,48.86510558452523,42.82717460131645
59.0,16.11508211493492,39.79102032304856,33.79476736164093
60.0,15.927540898323059,47.18809531080096,41.306463906288144
61.0,16.12838041782379,53.97148188530354,52.21960355901717
62.0,16.661866903305054,56.78974573497187,48.814769134998315
63.0,16.167581796646118,40.61107402909221,33.491610923767084
64.0,15.701390564441681,38.3999431141113,33.88515058517456
65.0,16.16460144519806,39.33775677728026,33.77752510952949
66.0,15.78087767958641,41.01362767318885,36.618399205923076
67.0,15.984487473964691,40.079928618904795,38.34238146424293
68.0,15.870145827531815,40.0250905007124,33.56462874817848
69.0,15.748385965824127,35.4142155856417,34.46462886810303
