use one gpu
using features: ['d1d27']
using lr: 2e-05
using fold: 6
train size: 991, validate size: 125, test size: 124
Epoch: 0 | Train Accuracy: 0.49848636984825134 | Train Loss: 22.867993414402008
Epoch: 0 | Validate Accuracy: 0.4880000054836273 | Validate Loss: 46.16133847332001
Epoch: 0 | Test Accuracy: 0.5080645084381104 | Test Loss: 46.461808025836945
Epoch: 1 | Train Accuracy: 0.5075681209564209 | Train Loss: 22.63533741235733
Epoch: 1 | Validate Accuracy: 0.4880000054836273 | Validate Loss: 46.07790345525741
Epoch: 1 | Test Accuracy: 0.5080645084381104 | Test Loss: 46.310954028079585
Epoch: 2 | Train Accuracy: 0.5489404797554016 | Train Loss: 22.36881923675537
Epoch: 2 | Validate Accuracy: 0.4880000054836273 | Validate Loss: 45.91979157972336
Epoch: 2 | Test Accuracy: 0.524193525314331 | Test Loss: 45.91274526138459
Epoch: 3 | Train Accuracy: 0.567103922367096 | Train Loss: 22.198163330554962
Epoch: 3 | Validate Accuracy: 0.527999997138977 | Validate Loss: 45.76775569581986
Epoch: 3 | Test Accuracy: 0.5403226017951965 | Test Loss: 45.29758898865792
Epoch: 4 | Train Accuracy: 0.5852674245834351 | Train Loss: 21.990961611270905
Epoch: 4 | Validate Accuracy: 0.5360000133514404 | Validate Loss: 45.61778578138352
Epoch: 4 | Test Accuracy: 0.5564516186714172 | Test Loss: 45.268884700152185
Epoch: 5 | Train Accuracy: 0.5933400392532349 | Train Loss: 21.822526037693024
Epoch: 5 | Validate Accuracy: 0.527999997138977 | Validate Loss: 45.33837995004654
Epoch: 5 | Test Accuracy: 0.5564516186714172 | Test Loss: 45.115087772088664
Epoch: 6 | Train Accuracy: 0.6084762811660767 | Train Loss: 21.68268722295761
Epoch: 6 | Validate Accuracy: 0.5360000133514404 | Validate Loss: 45.278550476074216
Epoch: 6 | Test Accuracy: 0.5887096524238586 | Test Loss: 44.76168985905186
Epoch: 7 | Train Accuracy: 0.6205852627754211 | Train Loss: 21.49148553609848
Epoch: 7 | Validate Accuracy: 0.5360000133514404 | Validate Loss: 44.941874005317686
Epoch: 7 | Test Accuracy: 0.5725806355476379 | Test Loss: 44.5827551234153
Epoch: 8 | Train Accuracy: 0.6135216951370239 | Train Loss: 21.37164658308029
Epoch: 8 | Validate Accuracy: 0.5440000295639038 | Validate Loss: 44.51002542829514
Epoch: 8 | Test Accuracy: 0.5725806355476379 | Test Loss: 44.29518300631354
Epoch: 9 | Train Accuracy: 0.6347123980522156 | Train Loss: 21.249660313129425
Epoch: 9 | Validate Accuracy: 0.5440000295639038 | Validate Loss: 44.330700979709626
Epoch: 9 | Test Accuracy: 0.5887096524238586 | Test Loss: 44.06209177932432
Epoch: 10 | Train Accuracy: 0.6276488304138184 | Train Loss: 21.137513995170593
Epoch: 10 | Validate Accuracy: 0.5440000295639038 | Validate Loss: 44.2094386844635
Epoch: 10 | Test Accuracy: 0.5887096524238586 | Test Loss: 43.64354926011255
Epoch: 11 | Train Accuracy: 0.6306760907173157 | Train Loss: 21.04194527864456
Epoch: 11 | Validate Accuracy: 0.5600000023841858 | Validate Loss: 43.870691991329196
Epoch: 11 | Test Accuracy: 0.5806451439857483 | Test Loss: 43.17732441040778
Epoch: 12 | Train Accuracy: 0.6316851377487183 | Train Loss: 20.93136316537857
Epoch: 12 | Validate Accuracy: 0.5839999914169312 | Validate Loss: 43.906614909648894
Epoch: 12 | Test Accuracy: 0.5887096524238586 | Test Loss: 43.15599126200522
Epoch: 13 | Train Accuracy: 0.6508577466011047 | Train Loss: 20.76684218645096
Epoch: 13 | Validate Accuracy: 0.5680000185966492 | Validate Loss: 44.08739905166626
Epoch: 13 | Test Accuracy: 0.5887096524238586 | Test Loss: 43.380833900263234
Epoch: 14 | Train Accuracy: 0.6498486399650574 | Train Loss: 20.674091935157776
Epoch: 14 | Validate Accuracy: 0.5680000185966492 | Validate Loss: 44.00603000307083
Epoch: 14 | Test Accuracy: 0.6048387289047241 | Test Loss: 43.216747195970626
Epoch: 15 | Train Accuracy: 0.6528759002685547 | Train Loss: 20.490277409553528
Epoch: 15 | Validate Accuracy: 0.5680000185966492 | Validate Loss: 44.16496741580963
Epoch: 15 | Test Accuracy: 0.6129032373428345 | Test Loss: 43.2687457924889
Epoch: 16 | Train Accuracy: 0.6599394679069519 | Train Loss: 20.418246030807495
Epoch: 16 | Validate Accuracy: 0.5680000185966492 | Validate Loss: 44.54013272762298
Epoch: 16 | Test Accuracy: 0.6290322542190552 | Test Loss: 44.330340495994015
Epoch: 17 | Train Accuracy: 0.6639757752418518 | Train Loss: 20.234539806842804
Epoch: 17 | Validate Accuracy: 0.5600000023841858 | Validate Loss: 44.99689674520493
Epoch: 17 | Test Accuracy: 0.6129032373428345 | Test Loss: 44.57446652074014
