Epoch,Accuracy Train,Accuracy Validate,Accuracy Test
0.0,0.5164835453033447,0.47999998927116394,0.5438596606254578
1.0,0.5354645252227783,0.5120000243186951,0.5701754093170166
2.0,0.5234765410423279,0.5360000133514404,0.6140350699424744
3.0,0.5644355416297913,0.527999997138977,0.6315789222717285
4.0,0.5444555282592773,0.4959999918937683,0.640350878238678
5.0,0.5604395866394043,0.5120000243186951,0.6578947305679321
6.0,0.586413562297821,0.46399998664855957,0.6228070259094238
7.0,0.5824176073074341,0.527999997138977,0.6140350699424744
8.0,0.5714285969734192,0.5440000295639038,0.6666666865348816
9.0,0.6033965945243835,0.5759999752044678,0.6052631735801697
10.0,0.611388623714447,0.5440000295639038,0.6666666865348816
11.0,0.6213786005973816,0.5199999809265137,0.6754385828971863
12.0,0.6273726224899292,0.5680000185966492,0.6491228342056274
13.0,0.6043956279754639,0.527999997138977,0.6842105388641357
14.0,0.6263736486434937,0.5440000295639038,0.6929824352264404
15.0,0.6463536620140076,0.5600000023841858,0.6578947305679321
16.0,0.6523476243019104,0.527999997138977,0.6140350699424744
17.0,0.6133866310119629,0.5839999914169312,0.6666666865348816
18.0,0.64035964012146,0.527999997138977,0.6578947305679321
19.0,0.6393606662750244,0.5519999861717224,0.640350878238678
20.0,0.6713286638259888,0.5839999914169312,0.640350878238678
21.0,0.6593406796455383,0.5519999861717224,0.6315789222717285
22.0,0.6643356680870056,0.6800000071525574,0.719298243522644
23.0,0.6903097033500671,0.7039999961853027,0.6754385828971863
24.0,0.7362637519836426,0.6800000071525574,0.7543859481811523
25.0,0.7682317495346069,0.7039999961853027,0.7456140518188477
26.0,0.7582417726516724,0.7039999961853027,0.6842105388641357
27.0,0.7692307829856873,0.6880000233650208,0.7456140518188477
28.0,0.7672327756881714,0.7120000123977661,0.7543859481811523
29.0,0.7892107963562012,0.6880000233650208,0.7456140518188477
30.0,0.773226797580719,0.6880000233650208,0.7017543911933899
31.0,0.7872127890586853,0.6880000233650208,0.6929824352264404
32.0,0.7962037920951843,0.7440000176429749,0.7280701994895935
33.0,0.7812187671661377,0.7120000123977661,0.7631579041481018
34.0,0.7872127890586853,0.7279999852180481,0.7017543911933899
35.0,0.7862138152122498,0.7279999852180481,0.7017543911933899
36.0,0.7892107963562012,0.6800000071525574,0.7017543911933899
37.0,0.8091908097267151,0.6959999799728394,0.7543859481811523
38.0,0.7962037920951843,0.6959999799728394,0.7368420958518982
39.0,0.7982017993927002,0.7120000123977661,0.7105262875556946
40.0,0.8131868243217468,0.7279999852180481,0.719298243522644
41.0,0.8031967878341675,0.7279999852180481,0.7105262875556946
42.0,0.8121877908706665,0.7120000123977661,0.7543859481811523
43.0,0.7862138152122498,0.7200000286102295,0.719298243522644
44.0,0.7972028255462646,0.6959999799728394,0.7543859481811523
45.0,0.8231768012046814,0.6959999799728394,0.7280701994895935
46.0,0.8161838054656982,0.7120000123977661,0.719298243522644
47.0,0.8041958212852478,0.7039999961853027,0.7280701994895935
48.0,0.8181818127632141,0.7120000123977661,0.7105262875556946
49.0,0.8211787939071655,0.7120000123977661,0.7368420958518982
50.0,0.8251748085021973,0.6959999799728394,0.7105262875556946
51.0,0.8141857981681824,0.7039999961853027,0.7368420958518982
52.0,0.8391608595848083,0.7200000286102295,0.7280701994895935
53.0,0.8191808462142944,0.671999990940094,0.6929824352264404
54.0,0.8391608595848083,0.7200000286102295,0.7368420958518982
55.0,0.8421578407287598,0.7039999961853027,0.7368420958518982
56.0,0.8351648449897766,0.7039999961853027,0.7543859481811523
57.0,0.8361638188362122,0.7039999961853027,0.7543859481811523
58.0,0.8421578407287598,0.7440000176429749,0.7543859481811523
59.0,0.838161826133728,0.7279999852180481,0.7368420958518982
60.0,0.8331668376922607,0.6880000233650208,0.7280701994895935
61.0,0.8311688303947449,0.6880000233650208,0.7631579041481018
62.0,0.8301698565483093,0.7120000123977661,0.6929824352264404
63.0,0.8401598334312439,0.7200000286102295,0.6929824352264404
64.0,0.8521478772163391,0.7279999852180481,0.7368420958518982
65.0,0.8521478772163391,0.7120000123977661,0.7456140518188477
66.0,0.8531468510627747,0.7120000123977661,0.7719298005104065
67.0,0.8491508364677429,0.7279999852180481,0.7280701994895935
68.0,0.8521478772163391,0.6880000233650208,0.7105262875556946
69.0,0.8431568145751953,0.7039999961853027,0.7280701994895935
70.0,0.8451548218727112,0.7120000123977661,0.7543859481811523
71.0,0.8651348948478699,0.7200000286102295,0.7368420958518982
72.0,0.8681318759918213,0.6800000071525574,0.7543859481811523
73.0,0.8691308498382568,0.7120000123977661,0.7017543911933899
74.0,0.8491508364677429,0.7039999961853027,0.7456140518188477
75.0,0.8801198601722717,0.7360000014305115,0.7280701994895935
76.0,0.8751248717308044,0.7440000176429749,0.780701756477356
77.0,0.8881118893623352,0.7039999961853027,0.7280701994895935
78.0,0.8651348948478699,0.671999990940094,0.719298243522644
79.0,0.8731268644332886,0.7120000123977661,0.7017543911933899
