Epoch,Loss Train,Loss Validate (*7.92),Loss Test (*7.92)
0.0,22.750797629356384,46.0994260597229,46.073975415229796
1.0,22.53339421749115,46.12311399936676,46.05335450649262
2.0,22.266089737415314,46.59023031234741,46.075237727165224
3.0,22.095385253429413,47.59468505859375,46.751396956443784
4.0,21.95207715034485,47.628581957817076,46.406088552474976
5.0,21.785200357437134,47.003585543632504,46.11361267089844
6.0,21.567578554153442,47.22669091701508,46.09438294887543
7.0,21.403823018074036,48.09802556991577,46.907934494018555
8.0,21.20117861032486,48.253202605247495,47.13952624797821
9.0,21.05768984556198,49.48081654071808,48.33929473400116
10.0,20.912664115428925,51.35305503845215,50.631803798675534
11.0,20.68563574552536,63.592385301589964,62.932231564521786
12.0,20.07556962966919,131.2982807636261,128.5268055152893
13.0,18.648331373929977,99.50699243545532,98.61982270717621
14.0,18.206110060214996,71.79760595798493,70.2837967801094
15.0,17.72010651230812,35.04420741319657,37.40390366792679
16.0,17.18010774254799,37.01247249126434,38.11246097803116
17.0,17.26166182756424,36.8639261341095,37.65141948223114
18.0,17.349330753087997,41.43701437711716,41.893730306625365
19.0,16.98620730638504,35.76377431154251,36.36688278436661
20.0,16.99588304758072,35.40834829330444,35.52823346614838
21.0,17.134959429502487,45.80775363922119,44.59816635847092
22.0,17.036772400140762,37.193669958114626,38.054986839294436
23.0,17.059773087501526,36.59360916137695,36.89239872694016
24.0,17.248554199934006,35.58947471380234,35.81800911426544
25.0,16.75853130221367,34.47761983394623,35.53663912296295
26.0,16.99264359474182,35.393462076187134,35.45062488555908
27.0,16.927585750818253,35.53484526157379,36.455561378002166
28.0,16.72185817360878,40.38878917694092,39.47675039291382
29.0,16.71415802836418,35.29620929718018,36.21132738590241
30.0,16.744389593601227,34.755434911251065,35.42240508556366
31.0,16.872265458106995,50.834674887657165,51.5420019865036
32.0,17.014898866415024,34.20301907300949,34.811901891231535
33.0,16.642578333616257,35.77586281299591,36.049214243888855
34.0,16.93100419640541,36.48466607093811,36.39843137741089
35.0,16.881967544555664,34.60050594806671,35.01945519447327
36.0,16.775312423706055,34.15921581029892,34.872936136722565
37.0,16.75856524705887,35.3230211520195,35.51421868801117
38.0,16.690070271492004,34.20790309667587,34.89179622888565
39.0,16.673367708921432,40.344174664020535,39.77004602193832
40.0,16.607858419418335,43.445794758796694,43.10291845321655
41.0,16.59381264448166,36.902121219635006,36.767789797782896
42.0,16.551870852708817,37.35451276302338,37.137511475086214
43.0,16.403257697820663,34.92013569831848,35.86427893638611
44.0,16.410573303699493,36.77737798690796,37.03235437631607
45.0,16.50675341486931,55.569586186409,54.58940993785858
46.0,16.38451451063156,35.67011373996735,35.7822390460968
47.0,16.375299781560898,34.49219118118286,34.22341150045395
48.0,16.444468021392822,33.783873209953306,34.21570615768432
49.0,16.33506491780281,37.198773729801175,36.84168933391571
50.0,16.514938801527023,37.80950894594192,37.328833401203156
51.0,16.172143518924713,40.731736764907836,39.59943611383438
52.0,16.77853313088417,39.72873693466187,38.65117997646332
53.0,16.15505650639534,33.642024800777435,33.64873030185699
54.0,16.17696726322174,35.61454274654388,35.54165178537369
55.0,16.61414071917534,47.919463899135586,47.428115587234494
56.0,16.192720979452133,47.55703993320465,46.78935317516327
57.0,16.274841725826263,37.726475114822385,37.562053084373474
58.0,16.213340640068054,33.329664437770845,33.343393850326535
59.0,16.031273066997528,33.90529142618179,33.645789077281954
60.0,16.09610405564308,45.07167471885681,44.33645685195923
61.0,16.205675899982452,45.31955662250519,44.04934319972992
62.0,16.402079701423645,44.04598206996918,43.437110817432405
63.0,15.9398333132267,49.979606781005856,49.326587891578676
64.0,16.04828032851219,33.41469087123871,33.37831726312637
65.0,16.10746678709984,32.929848139286044,32.61077602028847
66.0,15.782350927591324,40.28393231391907,38.95357850790024
67.0,16.014358639717102,36.87753092050552,35.77052631139755
68.0,15.898292511701584,33.63337886095047,32.912401893138885
69.0,15.990766912698746,50.28864354372025,48.652180037498475
