Epoch,Accuracy Train,Accuracy Validate,Accuracy Test
0.0,0.4914054572582245,0.5396825671195984,0.5600000023841858
1.0,0.5793731212615967,0.6190476417541504,0.5519999861717224
2.0,0.6592517495155334,0.7063491940498352,0.671999990940094
3.0,0.6946410536766052,0.7460317611694336,0.6959999799728394
4.0,0.721941351890564,0.761904776096344,0.7039999961853027
5.0,0.7280080914497375,0.7777777910232544,0.7039999961853027
6.0,0.7462083101272583,0.7777777910232544,0.7039999961853027
7.0,0.7441860437393188,0.7698412537574768,0.7039999961853027
8.0,0.7401415705680847,0.7698412537574768,0.7039999961853027
9.0,0.7512639164924622,0.7698412537574768,0.7200000286102295
10.0,0.7462083101272583,0.7698412537574768,0.7279999852180481
11.0,0.7583417296409607,0.8015872836112976,0.7200000286102295
12.0,0.7664307355880737,0.8015872836112976,0.7360000014305115
13.0,0.7684530019760132,0.8015872836112976,0.7440000176429749
14.0,0.7745197415351868,0.7936508059501648,0.7440000176429749
15.0,0.7765419483184814,0.8095238208770752,0.7519999742507935
16.0,0.7775530815124512,0.8015872836112976,0.7519999742507935
17.0,0.791708767414093,0.7936508059501648,0.7519999742507935
18.0,0.7906976938247681,0.7936508059501648,0.7519999742507935
19.0,0.7927199006080627,0.8095238208770752,0.7760000228881836
20.0,0.7957533001899719,0.817460298538208,0.7599999904632568
21.0,0.7927199006080627,0.8095238208770752,0.7599999904632568
22.0,0.7987866401672363,0.8253968358039856,0.7760000228881836
23.0,0.8109201192855835,0.8253968358039856,0.7680000066757202
24.0,0.8119312524795532,0.817460298538208,0.7839999794960022
25.0,0.8210313320159912,0.8333333134651184,0.7680000066757202
26.0,0.8200201988220215,0.8253968358039856,0.7760000228881836
27.0,0.8169868588447571,0.8253968358039856,0.7760000228881836
28.0,0.8190091252326965,0.8253968358039856,0.7919999957084656
29.0,0.8240647315979004,0.8333333134651184,0.7839999794960022
30.0,0.8190091252326965,0.841269850730896,0.7680000066757202
31.0,0.8281092047691345,0.8333333134651184,0.7839999794960022
32.0,0.8321536779403687,0.841269850730896,0.7919999957084656
33.0,0.8341759443283081,0.8333333134651184,0.7839999794960022
34.0,0.8412538170814514,0.8253968358039856,0.7919999957084656
35.0,0.8311425447463989,0.8333333134651184,0.800000011920929
36.0,0.8412538170814514,0.8333333134651184,0.7839999794960022
37.0,0.8473204970359802,0.841269850730896,0.7919999957084656
38.0,0.8412538170814514,0.8492063283920288,0.800000011920929
39.0,0.8422648906707764,0.841269850730896,0.7919999957084656
40.0,0.8361981511116028,0.841269850730896,0.7919999957084656
41.0,0.8574317693710327,0.841269850730896,0.7839999794960022
42.0,0.8503538966178894,0.8333333134651184,0.800000011920929
43.0,0.8452982902526855,0.8492063283920288,0.7919999957084656
44.0,0.8452982902526855,0.8492063283920288,0.8080000281333923
45.0,0.8533872365951538,0.841269850730896,0.7919999957084656
46.0,0.8665318489074707,0.8571428656578064,0.7919999957084656
47.0,0.8645095825195312,0.841269850730896,0.7919999957084656
48.0,0.8604651093482971,0.8492063283920288,0.800000011920929
49.0,0.865520715713501,0.8492063283920288,0.800000011920929
50.0,0.8756319284439087,0.8492063283920288,0.7919999957084656
51.0,0.8533872365951538,0.8492063283920288,0.7919999957084656
52.0,0.8624873757362366,0.841269850730896,0.8080000281333923
53.0,0.8624873757362366,0.8492063283920288,0.7919999957084656
54.0,0.8614762425422668,0.8333333134651184,0.800000011920929
55.0,0.8614762425422668,0.8571428656578064,0.800000011920929
56.0,0.8725985884666443,0.8492063283920288,0.8080000281333923
57.0,0.8776541948318481,0.841269850730896,0.7919999957084656
58.0,0.8786653280258179,0.841269850730896,0.8080000281333923
59.0,0.8806875348091125,0.841269850730896,0.8080000281333923
60.0,0.8725985884666443,0.8492063283920288,0.8080000281333923
61.0,0.8857432007789612,0.8492063283920288,0.7839999794960022
62.0,0.873609721660614,0.8492063283920288,0.7839999794960022
63.0,0.8857432007789612,0.8492063283920288,0.7919999957084656
64.0,0.8786653280258179,0.841269850730896,0.800000011920929
65.0,0.873609721660614,0.8333333134651184,0.800000011920929
66.0,0.8816986680030823,0.8333333134651184,0.7839999794960022
67.0,0.8847320675849915,0.841269850730896,0.800000011920929
68.0,0.8958544135093689,0.8492063283920288,0.800000011920929
69.0,0.8897876739501953,0.841269850730896,0.800000011920929
70.0,0.8948432803153992,0.841269850730896,0.800000011920929
71.0,0.8857432007789612,0.841269850730896,0.800000011920929
72.0,0.8928210139274597,0.841269850730896,0.8080000281333923
73.0,0.8887765407562256,0.8492063283920288,0.800000011920929
74.0,0.890798807144165,0.8492063283920288,0.800000011920929
