Epoch,Loss Train,Loss Validate (*8.78),Loss Test (*8.01)
0.0,22.1552175283432,49.66319499622312,45.11078436946868
1.0,21.497637450695038,48.97861158534101,44.38739782619476
2.0,20.91659641265869,44.973060574447906,42.880779110908506
3.0,20.47176569700241,44.106856048107154,41.95267450428008
4.0,20.443992853164673,43.337532655188916,41.63246148943901
5.0,20.186530828475952,46.05941519036628,42.21980566835403
6.0,20.008876979351044,45.567606445990116,41.86707683086395
7.0,20.152421832084656,44.297661794382236,41.51737416410446
8.0,20.225394368171692,42.86819482790797,42.027790839672086
9.0,19.992496997117996,42.03934090676015,41.062162193298335
10.0,19.880884915590286,45.28987198179229,42.0659850282669
11.0,20.011443436145782,45.628445662427374,41.02955830621719
12.0,20.024215519428253,42.92506532501756,40.902025257110594
13.0,20.20405289530754,42.134095323713204,41.9897369813919
14.0,20.190319180488586,42.09913024175586,41.840232691764825
15.0,19.87367483973503,42.40224948891423,40.90341901397704
16.0,19.849714279174805,42.42994495311328,41.19867065477371
17.0,19.899772703647614,45.575178310275085,41.08161655712127
18.0,19.922403752803802,40.0545669950937,41.52011585569381
19.0,20.011890530586243,41.57165693060348,40.63705155229568
20.0,19.867785811424255,41.330168236243104,40.98333903741836
21.0,19.816524028778076,39.21066348666424,42.369281319141386
22.0,19.95722734928131,41.67524924534455,41.072514179229735
23.0,20.082224488258362,40.38023854347698,40.995984994411465
24.0,20.077529311180115,44.27225031952064,41.69407532787323
25.0,19.891763746738434,40.597252072995175,41.084715756893154
26.0,19.87107664346695,44.082664550135014,40.844048789978025
27.0,19.931934356689453,42.71823763429073,41.115833288192746
28.0,19.811028003692627,45.99591097078826,41.13438171005249
29.0,20.033034771680832,41.42193028173949,41.12421038746833
30.0,20.167204976081848,45.02768214805085,41.064639930248255
31.0,19.981120109558105,49.71051633488714,41.38855332183837
32.0,20.12844890356064,39.842655413114194,41.173098080158226
33.0,19.99005499482155,46.092436997252605,41.05390418386459
34.0,19.996147453784943,44.32087354257442,41.15741831541061
35.0,20.139289021492004,43.57818421826028,41.251541771411894
36.0,19.96224609017372,42.56210571422912,40.93838369607925
37.0,19.865645706653595,40.35694200924615,40.889792892694466
38.0,19.728359162807465,43.786058650205014,40.81119622230529
39.0,20.034798860549927,51.471829576189066,41.296740542888635
40.0,19.69571477174759,41.25539244554545,41.082755189657206
41.0,19.824894845485687,47.61924749508239,40.745379872798914
42.0,19.824053704738617,45.99135502963736,41.1136567363739
43.0,20.192167937755585,46.664489185078104,42.23578566360473
44.0,19.726233303546906,40.22630896693782,41.39219260239601
45.0,19.47207421064377,42.979901218884876,38.92988983917236
46.0,18.981803834438324,44.80774245345802,38.04910113024711
47.0,17.940707236528397,40.9257924773714,38.172636913299556
48.0,18.37473165988922,42.38139578700066,36.51319657611847
49.0,18.005070447921753,47.02221037944158,37.40233708667755
50.0,17.454765141010284,41.26971448225934,38.255814366102214
51.0,17.336655646562576,46.351965229762236,34.74003785014152
52.0,16.955827116966248,51.42617621965576,36.35661395859718
53.0,16.479613602161407,45.99016069790774,37.82986436843871
54.0,16.570700079202652,46.334999648102546,34.02236284613609
55.0,16.40652784705162,45.42202567740491,35.93802700662612
56.0,16.19204220175743,39.00085062082661,33.48395528459549
57.0,16.137226283550262,43.103385803730866,33.556279333114624
58.0,16.3067324757576,42.808327249006226,33.411409762382505
59.0,16.248848468065262,40.512405846725436,34.24618874335289
60.0,15.783068597316742,37.3978286612975,33.70629076886177
61.0,15.818646311759949,39.52476874085372,34.13509295630455
62.0,15.905429273843765,38.80642452378545,32.676357903718944
63.0,15.783030837774277,43.20851839817407,32.936373748064035
64.0,15.447260737419128,47.09929501958061,33.06608859944343
65.0,15.54766383767128,36.569073068402844,32.743685667991635
66.0,15.556848645210266,41.788440962109654,34.178314693212506
67.0,15.842183977365494,37.80372396131096,32.901003707051274
68.0,15.617818087339401,52.943105218703295,34.59412654161453
69.0,15.765830308198929,40.36010813974498,33.55455479764938
