Epoch,Loss Train,Loss Validate (*7.78),Loss Test (*7.90)
0.0,30.055960655212402,58.01656111769789,60.45261870574951
1.0,27.893540024757385,55.058819759549124,57.30860797691345
2.0,26.218325316905975,52.7894132850677,54.886822839736936
3.0,24.94103515148163,51.153946910317494,52.94204316711426
4.0,23.939106166362762,49.79722719868337,51.95078587722778
5.0,23.13697475194931,48.741800439639356,50.61964353179932
6.0,22.48766392469406,47.976115039014445,50.06260032081604
7.0,21.941482722759247,47.372768672432485,49.06589081573486
8.0,21.49041175842285,46.89424091624463,48.94322468948364
9.0,21.103643536567688,46.379826801029715,48.473382530212405
10.0,20.754903733730316,46.03076991696996,48.120004737854
11.0,20.455027163028717,45.78000637865442,47.82683074569702
12.0,20.210811734199524,45.46891553007712,47.70814507102966
13.0,19.955601274967194,45.534624495844206,47.47095886993408
14.0,19.74513131380081,45.19152610508476,47.156302499771115
15.0,19.521048545837402,44.90743117257366,47.33193374252319
16.0,19.360912442207336,44.94418232459722,47.1604445438385
17.0,19.17599880695343,44.763518952947905,47.15434642982483
18.0,19.013800144195557,44.60508192054869,46.727767713546754
19.0,18.869545578956604,44.51021157850431,46.85731777381897
20.0,18.712994754314423,44.39816176421999,46.86414894294739
21.0,18.57763284444809,44.359397707961676,46.889741329193114
22.0,18.441852897405624,44.358570010643305,46.504479879379275
23.0,18.342476844787598,44.250511227630255,46.76343583869934
24.0,18.222514003515244,44.09989790559754,47.0066513710022
25.0,18.104962795972824,44.2403525761732,46.79175975036621
26.0,18.002658754587173,44.204939187042356,46.76166209030151
27.0,17.88396966457367,44.21624965930548,46.827774616241456
28.0,17.783160746097565,44.272770952990676,46.787461296081545
29.0,17.70243164896965,44.14977744996079,46.82148334503174
30.0,17.594879388809204,44.04957460418461,47.4477498550415
31.0,17.50805851817131,44.02737423190921,47.56113642692566
32.0,17.426440060138702,44.03102954729336,47.079222885131834
33.0,17.346409797668457,44.03435378375016,47.163665086746214
34.0,17.2672116458416,43.90166393415196,47.012181791305544
