Epoch,Loss Train,Loss Validate (*7.99),Loss Test (*7.93)
0.0,23.10779321193695,45.048740365812854,44.667267347335816
1.0,21.759466767311096,45.11153224735491,44.82727460336685
2.0,20.90341866016388,43.800360095597085,44.86335062646866
3.0,20.39531111717224,41.019378129513036,43.425261035442354
4.0,20.11986804008484,40.697195856321244,42.719438066482546
5.0,19.94988352060318,40.9454847603075,42.46822477960586
6.0,19.862430810928345,39.84995346876883,41.52856260871887
7.0,19.75544512271881,39.41939438110398,41.47252011537552
8.0,19.530656397342682,39.026757556103895,41.5464442076683
9.0,19.73645105957985,39.645191161382584,41.43773933982849
10.0,19.569184243679047,39.39863286047213,41.275040463924405
11.0,19.474059283733368,38.80625119084312,40.9417705745697
12.0,19.554945468902588,38.98415461471004,41.06572590732574
13.0,19.53903090953827,39.63509859673439,40.827673016071316
14.0,19.55809837579727,39.22818084277453,40.49320758628845
15.0,19.40908533334732,39.10848174941155,40.794764230012895
16.0,19.523643285036087,39.274938803526666,40.45433409309387
17.0,19.416005671024323,38.93923658084485,40.500691527605056
18.0,19.273065268993378,38.9056882233389,40.74515993452072
19.0,19.465076684951782,39.41339086044219,40.76449366617203
20.0,19.45231157541275,39.35695881420566,40.66510125494003
21.0,19.301833480596542,38.77585488413611,40.281274654388426
22.0,19.21415415406227,39.2870773192375,40.401803558826444
23.0,19.253087103366852,38.55754976214901,40.66608745765686
24.0,19.035417824983597,38.207140985996496,39.9322954583168
25.0,18.86064302921295,38.76059480444078,40.178512992858884
26.0,18.579059451818466,36.58443003195909,38.181639855623246
27.0,18.1826533973217,39.75449067834885,41.6194066696167
28.0,18.054075062274933,37.77833560469651,39.71853708267212
29.0,17.50991979241371,33.79056190867578,37.22315831899643
30.0,17.32286897301674,33.62899727374315,36.46630798339844
31.0,17.246741145849228,33.06505432388475,36.3857734503746
32.0,17.01976042985916,34.093904521436464,36.91146628046036
33.0,17.106561720371246,31.987373538555637,35.82610317230225
34.0,16.657565116882324,32.26483760942374,35.80119529247284
35.0,16.80165159702301,30.591439230067117,35.48384971809387
36.0,16.498594373464584,30.677503269045584,35.55168742275238
37.0,16.582947075366974,32.514709565067484,36.01024829506874
38.0,16.516114115715027,30.451781276733644,34.52648031759262
39.0,16.180606454610825,29.978865047616345,34.313225675582885
40.0,16.13509052991867,30.166372056209273,34.45524359226227
41.0,16.128420025110245,30.748464664143903,34.378457763671875
42.0,15.813226163387299,29.728214606402382,34.58931612682343
43.0,15.858873903751373,45.58674665828867,46.783034853696826
44.0,15.574574202299118,31.843156139216116,35.623585948228836
45.0,15.830668210983276,28.406824846421518,33.698767985343935
46.0,15.790133833885193,28.366763266824908,32.921815086364745
47.0,15.652846336364746,37.54491354813499,42.35889378881454
48.0,15.648697137832642,37.34284098758813,41.92887443590164
49.0,15.589893490076065,31.13008908014144,35.83075160360336
50.0,15.74973201751709,27.44409197496791,32.64053230381012
51.0,15.367017060518265,27.80841250381162,32.03016662240028
52.0,15.33523815870285,28.516877244797445,32.577917882204055
53.0,15.571037143468857,27.618013058698946,32.44213189721108
54.0,15.423217713832855,34.69942195905793,40.529542091846466
55.0,15.675426840782166,27.265899402720315,31.733038203716276
56.0,15.334519237279892,29.679150842130184,34.0754378824234
57.0,15.444091081619263,32.03995448086531,37.43338134455681
58.0,15.627933830022812,29.086131093002134,33.64338256669044
59.0,15.651935994625092,33.34838520110615,36.25481900811195
60.0,15.469900518655777,36.23074392325455,41.26196748924255
61.0,15.702375084161758,28.037093860728127,31.68537512564659
62.0,15.422235876321793,28.2232303917408,32.06201785135269
63.0,15.184625208377838,38.36940014867052,44.168270037174224
64.0,15.62797126173973,30.448830962902115,34.028025017261506
65.0,15.402290761470795,27.642597578225597,31.667345619916915
66.0,15.294209271669388,32.55942717194557,36.18785622167587
67.0,15.256272286176682,28.041165041346705,31.299231161355973
68.0,15.33659714460373,27.887720140718645,31.33119343852997
69.0,15.556995213031769,28.228536050165854,32.096186680316926
