Epoch,Accuracy Train,Accuracy Validate,Accuracy Test
0.0,0.6319514513015747,0.5396825671195984,0.4959999918937683
1.0,0.6511628031730652,0.5396825671195984,0.4959999918937683
2.0,0.7098078727722168,0.460317462682724,0.5040000081062317
3.0,0.7522750496864319,0.5396825671195984,0.4959999918937683
4.0,0.7583417296409607,0.5396825671195984,0.6240000128746033
5.0,0.7674418687820435,0.460317462682724,0.5040000081062317
6.0,0.7542972564697266,0.5396825671195984,0.4959999918937683
7.0,0.7542972564697266,0.460317462682724,0.5040000081062317
8.0,0.7573306560516357,0.5396825671195984,0.4959999918937683
9.0,0.7704752087593079,0.460317462682724,0.5040000081062317
10.0,0.7714863419532776,0.5396825671195984,0.6079999804496765
11.0,0.7623862624168396,0.5396825671195984,0.4959999918937683
12.0,0.7765419483184814,0.6666666865348816,0.6880000233650208
13.0,0.7876642942428589,0.7698412537574768,0.7200000286102295
14.0,0.7866531610488892,0.5396825671195984,0.4959999918937683
15.0,0.8008089065551758,0.6349206566810608,0.656000018119812
16.0,0.7937310338020325,0.4682539701461792,0.5040000081062317
17.0,0.7846309542655945,0.5476190447807312,0.4959999918937683
18.0,0.7856420874595642,0.4682539701461792,0.5040000081062317
19.0,0.7927199006080627,0.817460298538208,0.7680000066757202
20.0,0.812942385673523,0.6666666865348816,0.6240000128746033
21.0,0.8099089860916138,0.460317462682724,0.5120000243186951
22.0,0.8038422465324402,0.4920634925365448,0.5519999861717224
23.0,0.8068756461143494,0.460317462682724,0.5040000081062317
24.0,0.7937310338020325,0.5714285969734192,0.6000000238418579
25.0,0.8078867793083191,0.5396825671195984,0.4959999918937683
26.0,0.8200201988220215,0.5079365372657776,0.5199999809265137
27.0,0.8270980715751648,0.6507936716079712,0.6240000128746033
28.0,0.8270980715751648,0.460317462682724,0.5040000081062317
29.0,0.8402426838874817,0.8253968358039856,0.7360000014305115
30.0,0.8341759443283081,0.4682539701461792,0.5040000081062317
31.0,0.8361981511116028,0.5396825671195984,0.4959999918937683
32.0,0.84833163022995,0.523809552192688,0.5920000076293945
33.0,0.839231550693512,0.6269841194152832,0.5839999914169312
34.0,0.8442871570587158,0.8095238208770752,0.7200000286102295
35.0,0.8473204970359802,0.6111111044883728,0.5600000023841858
36.0,0.8665318489074707,0.5396825671195984,0.4959999918937683
37.0,0.84833163022995,0.4841269850730896,0.4959999918937683
38.0,0.856420636177063,0.5952380895614624,0.6399999856948853
39.0,0.8624873757362366,0.5396825671195984,0.4959999918937683
40.0,0.8574317693710327,0.5,0.5120000243186951
41.0,0.8806875348091125,0.5396825671195984,0.5040000081062317
42.0,0.8756319284439087,0.6269841194152832,0.5600000023841858
43.0,0.8584428429603577,0.5476190447807312,0.5920000076293945
44.0,0.8766430616378784,0.5396825671195984,0.5199999809265137
45.0,0.8837209343910217,0.5396825671195984,0.5120000243186951
46.0,0.890798807144165,0.460317462682724,0.5040000081062317
47.0,0.8897876739501953,0.5952380895614624,0.5519999861717224
48.0,0.899898886680603,0.6190476417541504,0.5519999861717224
49.0,0.890798807144165,0.5555555820465088,0.5600000023841858
50.0,0.8948432803153992,0.5952380895614624,0.5519999861717224
51.0,0.8887765407562256,0.460317462682724,0.5040000081062317
52.0,0.9140545725822449,0.4841269850730896,0.5120000243186951
53.0,0.8978766202926636,0.6111111044883728,0.5759999752044678
54.0,0.899898886680603,0.6746031641960144,0.6240000128746033
55.0,0.9282103180885315,0.5555555820465088,0.5839999914169312
56.0,0.926188051700592,0.6507936716079712,0.5920000076293945
57.0,0.9221435785293579,0.7301587462425232,0.7279999852180481
58.0,0.9130434989929199,0.6269841194152832,0.6320000290870667
59.0,0.926188051700592,0.8015872836112976,0.7120000123977661
60.0,0.9191102385520935,0.5,0.5199999809265137
61.0,0.9352881908416748,0.6269841194152832,0.5759999752044678
62.0,0.9352881908416748,0.6111111044883728,0.5600000023841858
63.0,0.9292214512825012,0.5396825671195984,0.5040000081062317
64.0,0.926188051700592,0.4920634925365448,0.5120000243186951
65.0,0.9221435785293579,0.460317462682724,0.5040000081062317
66.0,0.9362992644309998,0.4920634925365448,0.5120000243186951
67.0,0.9312436580657959,0.4682539701461792,0.5040000081062317
68.0,0.9534883499145508,0.460317462682724,0.4880000054836273
69.0,0.9464105367660522,0.523809552192688,0.5519999861717224
