use one gpu
using features: ['d1da27']
using lr: 2e-05
using fold: 9
train size: 1001, validate size: 114, test size: 125
Epoch: 0 | Train Accuracy: 0.4255744218826294 | Train Loss: 24.031583428382874
Epoch: 0 | Validate Accuracy: 0.5263158082962036 | Validate Loss: 50.94394934438823
Epoch: 0 | Test Accuracy: 0.4959999918937683 | Test Loss: 46.63912994050979
Epoch: 1 | Train Accuracy: 0.4475524425506592 | Train Loss: 23.73708802461624
Epoch: 1 | Validate Accuracy: 0.4035087823867798 | Validate Loss: 51.18507089426644
Epoch: 1 | Test Accuracy: 0.41600000858306885 | Test Loss: 46.693548986434934
Epoch: 2 | Train Accuracy: 0.5004994869232178 | Train Loss: 23.4425066113472
Epoch: 2 | Validate Accuracy: 0.4649122953414917 | Validate Loss: 52.101593841063355
Epoch: 2 | Test Accuracy: 0.5040000081062317 | Test Loss: 46.997143121242516
Epoch: 3 | Train Accuracy: 0.5364635586738586 | Train Loss: 23.23234212398529
Epoch: 3 | Validate Accuracy: 0.4649122953414917 | Validate Loss: 52.85522082604861
Epoch: 3 | Test Accuracy: 0.5040000081062317 | Test Loss: 47.54870283126831
Epoch: 4 | Train Accuracy: 0.5754245519638062 | Train Loss: 22.988857567310333
Epoch: 4 | Validate Accuracy: 0.4649122953414917 | Validate Loss: 52.48267306570422
Epoch: 4 | Test Accuracy: 0.5360000133514404 | Test Loss: 46.98473438930511
Epoch: 5 | Train Accuracy: 0.5964035987854004 | Train Loss: 22.872387051582336
Epoch: 5 | Validate Accuracy: 0.5087719559669495 | Validate Loss: 50.992600829454894
Epoch: 5 | Test Accuracy: 0.5360000133514404 | Test Loss: 46.66265579271316
Epoch: 6 | Train Accuracy: 0.602397620677948 | Train Loss: 22.657776951789856
Epoch: 6 | Validate Accuracy: 0.5263158082962036 | Validate Loss: 52.70579642371128
Epoch: 6 | Test Accuracy: 0.5519999861717224 | Test Loss: 46.09130282592773
Epoch: 7 | Train Accuracy: 0.6033965945243835 | Train Loss: 22.51119965314865
Epoch: 7 | Validate Accuracy: 0.5438596606254578 | Validate Loss: 53.53587110680447
Epoch: 7 | Test Accuracy: 0.5600000023841858 | Test Loss: 45.52291159248352
Epoch: 8 | Train Accuracy: 0.620379626750946 | Train Loss: 22.47057205438614
Epoch: 8 | Validate Accuracy: 0.5350877046585083 | Validate Loss: 48.84364398764937
Epoch: 8 | Test Accuracy: 0.5680000185966492 | Test Loss: 45.1694147567749
Epoch: 9 | Train Accuracy: 0.6153846383094788 | Train Loss: 22.29315048456192
Epoch: 9 | Validate Accuracy: 0.5438596606254578 | Validate Loss: 51.88434479477113
Epoch: 9 | Test Accuracy: 0.5680000185966492 | Test Loss: 44.92764042139053
Epoch: 10 | Train Accuracy: 0.6253746151924133 | Train Loss: 22.04808908700943
Epoch: 10 | Validate Accuracy: 0.5350877046585083 | Validate Loss: 48.90348121105579
Epoch: 10 | Test Accuracy: 0.5680000185966492 | Test Loss: 44.52526615524292
Epoch: 11 | Train Accuracy: 0.64035964012146 | Train Loss: 22.0049546957016
Epoch: 11 | Validate Accuracy: 0.5438596606254578 | Validate Loss: 49.66941682602231
Epoch: 11 | Test Accuracy: 0.5680000185966492 | Test Loss: 44.15749954032898
Epoch: 12 | Train Accuracy: 0.6423576474189758 | Train Loss: 21.898702204227448
Epoch: 12 | Validate Accuracy: 0.5614035129547119 | Validate Loss: 49.433465654389906
Epoch: 12 | Test Accuracy: 0.5759999752044678 | Test Loss: 43.793361466407774
Epoch: 13 | Train Accuracy: 0.6343656182289124 | Train Loss: 21.790400087833405
Epoch: 13 | Validate Accuracy: 0.5438596606254578 | Validate Loss: 47.7835492303497
Epoch: 13 | Test Accuracy: 0.6159999966621399 | Test Loss: 43.39632929849624
Epoch: 14 | Train Accuracy: 0.6293706297874451 | Train Loss: 21.6266086101532
Epoch: 14 | Validate Accuracy: 0.5438596606254578 | Validate Loss: 49.82299051054738
Epoch: 14 | Test Accuracy: 0.5839999914169312 | Test Loss: 43.29620409631729
Epoch: 15 | Train Accuracy: 0.6383616328239441 | Train Loss: 21.55176490545273
Epoch: 15 | Validate Accuracy: 0.5614035129547119 | Validate Loss: 50.232490852736596
Epoch: 15 | Test Accuracy: 0.6079999804496765 | Test Loss: 43.03487707042694
Epoch: 16 | Train Accuracy: 0.6463536620140076 | Train Loss: 21.446888625621796
Epoch: 16 | Validate Accuracy: 0.5789473652839661 | Validate Loss: 50.28423388799032
Epoch: 16 | Test Accuracy: 0.6079999804496765 | Test Loss: 42.98391807365417
Epoch: 17 | Train Accuracy: 0.6443556547164917 | Train Loss: 21.305095493793488
Epoch: 17 | Validate Accuracy: 0.5614035129547119 | Validate Loss: 48.444320848636465
Epoch: 17 | Test Accuracy: 0.6320000290870667 | Test Loss: 42.713130684375756
Epoch: 18 | Train Accuracy: 0.6423576474189758 | Train Loss: 21.321506798267365
