Epoch,Loss Train,Loss Validate (*7.93),Loss Test (*7.99)
0.0,33.378797352313995,67.30871724033355,65.94047685111723
1.0,30.183361411094666,62.66366369533539,60.61229629189737
2.0,27.779130160808563,59.33279591608047,56.94873867304094
3.0,25.999824345111847,56.73989507675171,54.484305112111954
4.0,24.682172298431396,54.61122305822372,52.26178394738705
5.0,23.63865464925766,53.444780099391934,51.11005688242374
6.0,22.829616963863373,52.26874824476242,50.22593211839276
7.0,22.16987454891205,51.09705341386795,49.394046510900225
8.0,21.630630254745483,50.49649612569809,48.80887544924213
9.0,21.1697638630867,49.85646662902832,47.88970561565892
10.0,20.78173393011093,49.457347034454344,47.88249405497505
11.0,20.42953187227249,49.01876184701919,47.18808635540547
12.0,20.120519161224365,48.57683481693268,46.7507420461024
13.0,19.838323950767517,48.41921722412109,46.67752415037924
14.0,19.59232723712921,48.815030416965485,47.010763610082286
15.0,19.36091685295105,48.33824653148651,46.8333103430848
16.0,19.151289343833923,48.081875881671905,46.220340546581056
17.0,18.95728975534439,47.94140602445602,46.340620556666
18.0,18.773721635341644,47.55678696489334,45.47366868175806
19.0,18.59928461909294,47.52306988954544,45.49492728037219
20.0,18.435644030570984,47.36664405679703,45.44058643906347
21.0,18.283980667591095,47.56825659227371,45.075031908769766
22.0,18.142751306295395,47.807231892585754,45.337336649337125
23.0,18.00067239999771,46.98679203748703,45.34001424908638
24.0,17.86940848827362,47.640786202430725,45.231814639222236
25.0,17.74059408903122,47.091547369003294,45.033017743979734
26.0,17.616842448711395,47.45336232185364,45.49480438040149
27.0,17.49447003006935,47.1907035074234,45.06147527983112
28.0,17.389808386564255,47.15281550812721,44.6916697443493
29.0,17.283536940813065,47.84568576526642,45.49430182431975
30.0,17.18188127875328,47.37313021802902,44.56239088408409
31.0,17.07594719529152,47.31422527956963,44.56230228177963
32.0,16.983097314834595,47.25029340076446,44.70243730612339
33.0,16.887006103992462,47.21937663078308,44.448659346468986
34.0,16.79875385761261,47.33691810178757,44.76131401379262
